ID;CLASSE;X;Y;banda1;geologia;Solos;banda2;mde;banda3;Flow Direct;banda4;banda5;ndvi;Slope;Aspect;savi;Convergence;Catchment A;Topographic;LS Factor;Channel Net;Vertical Di;Relative Sl;Profile Cur;Plan Curvat
1,0000000000;NX;602953,0000000000;7507427,0000000000;396,0000000000;3,0000000000;3,0000000000;624,0000000000;465,3214111300;813,0000000000;6,0000000000;1133,0000000000;1054,0000000000;0,1290840954;0,2172739655;175,1965823174;0,0526430905;-1,3967919350;796,4952392600;4,6603732109;2,3843741417;367,4175415000;97,9038696290;0,9909250736;0,0072441422;-0,0041863569
2,0000000000;LVA;602886,0000000000;7507438,0000000000;335,0000000000;3,0000000000;3,0000000000;740,0000000000;441,0494079600;1060,0000000000;6,0000000000;1385,0000000000;1391,0000000000;0,1350469142;0,4404856861;175,1909127235;0,0666353554;-3,5041673183;2538,5622559000;5,0609245300;7,2967391014;368,6955871600;72,3538208010;0,7679518461;-0,0013653291;-0,0093564698
3,0000000000;LVA;602832,0000000000;7507434,0000000000;406,0000000000;3,0000000000;3,0000000000;692,0000000000;417,9417114300;966,0000000000;6,0000000000;1258,0000000000;1384,0000000000;0,1778723449;0,2744982541;175,4145731926;0,0853061229;-6,7247571945;7855,6245117000;7,0522689819;5,4401326180;370,2127685500;47,7289428710;0,5296927691;-0,0001570865;-0,0257554278
4,0000000000;NX;602772,0000000000;7507428,0000000000;266,0000000000;3,0000000000;3,0000000000;651,0000000000;401,7578125000;792,0000000000;5,0000000000;1419,0000000000;1940,0000000000;0,4202049673;0,2943531573;176,0209774971;0,2227108181;-9,1032361984;19385,1601560000;7,7672929764;6,9579381943;371,9495544400;29,8082580570;0,3434150815;-0,0051124007;-0,0317290574
5,0000000000;GX;602699,0000000000;7507422,0000000000;116,0000000000;1,0000000000;10,0000000000;327,0000000000;396,6788940400;250,0000000000;4,0000000000;817,0000000000;1706,0000000000;0,7443763018;0,3823546171;177,2429809570;0,3139735758;-7,7716069221;4102,5380859000;5,6997699738;6,7525758743;374,4997558600;22,1791381840;0,2658157349;-0,0039808452;-0,0116492435
6,0000000000;CX;603895,0000000000;7507489,0000000000;483,0000000000;1,0000000000;7,0000000000;801,0000000000;386,4495849600;1025,0000000000;0,0000000000;1517,0000000000;1903,0000000000;0,2998633981;0,3629093766;179,3778066039;0,1661200970;-11,1869897840;3485,7177734000;5,5941967964;6,1266808510;373,9410400400;12,5085449220;0,2310949862;-0,0055613038;-0,0145014981
7,0000000000;PVA;603880,0000000000;7507480,0000000000;402,0000000000;1,0000000000;7,0000000000;739,0000000000;386,4495849600;840,0000000000;0,0000000000;1398,0000000000;1797,0000000000;0,3629123867;0,3629093766;179,3778066039;0,1879664809;-11,1869897840;3485,7177734000;5,5941967964;6,1266808510;373,9410400400;12,5085449220;0,2310949862;-0,0055613038;-0,0145014981
8,0000000000;CX;603866,0000000000;7507455,0000000000;226,0000000000;1,0000000000;7,0000000000;473,0000000000;400,4086914100;581,0000000000;1,0000000000;953,0000000000;1330,0000000000;0,3919413984;0,0637022704;179,2010020614;0,1625669301;35,1963577270;411,8328552200;4,9853839874;0,4065632224;373,3853454600;27,0233459470;0,4964753389;0,0120924469;-0,0158984102
9,0000000000;PA;603851,0000000000;7507425,0000000000;211,0000000000;1,0000000000;7,0000000000;422,0000000000;397,2503051800;502,0000000000;5,0000000000;1014,0000000000;1550,0000000000;0,5107212663;0,2799789012;176,1357977390;0,2229154855;0,7450850606;712,2407226600;4,5163731575;3,3730809689;372,7183532700;24,5319519040;0,4459785819;0,0112543898;-0,0053819036
10,0000000000;GX;603832,0000000000;7507406,0000000000;226,0000000000;1,0000000000;10,0000000000;531,0000000000;383,9715881300;612,0000000000;5,0000000000;1198,0000000000;1933,0000000000;0,5190569758;0,5186520815;176,0754780769;0,2626242638;-2,8074824810;1457,9744873000;4,5471010208;8,3210830688;371,7379150400;12,2336730960;0,2188121229;0,0008881117;-0,0029952163
11,0000000000;RL;602278,0000000000;7506274,0000000000;380,0000000000;4,0000000000;8,0000000000;682,0000000000;426,4039917000;977,0000000000;0,0000000000;1360,0000000000;1549,0000000000;0,2264449745;0,3879012466;179,9732232057;0,1140047833;23,6632995610;613,3251342800;3,5264899731;4,4648804665;370,9636230500;55,4403686520;0,7805835009;-0,0002517170;0,0349322967
12,0000000000;MT;602216,0000000000;7506262,0000000000;372,0000000000;4,0000000000;5,0000000000;703,0000000000;408,3558044400;874,0000000000;7,0000000000;1355,0000000000;1607,0000000000;0,2954453826;0,4705209136;174,7284069061;0,1469723284;2,5114293098;1191,5402832000;4,2285213470;6,7930245399;371,7057495100;36,6500549320;0,5012426972;-0,0024635484;0,0062575610
13,0000000000;MT;602177,0000000000;7506293,0000000000;417,0000000000;4,0000000000;5,0000000000;707,0000000000;389,9209899900;937,0000000000;6,0000000000;1427,0000000000;1666,0000000000;0,2800614536;0,2967733145;174,9980649948;0,1438248307;-2,0120315552;2312,3112793000;5,4002804756;4,3865842819;372,2452392600;17,6757507320;0,2360854298;-0,0031727930;-0,0046575894
14,0000000000;MT;602138,0000000000;7506316,0000000000;153,0000000000;4,0000000000;10,0000000000;452,0000000000;381,3030090300;425,0000000000;6,0000000000;1042,0000000000;2142,0000000000;0,6688741446;0,1211090460;175,7859168053;0,3403594792;-13,1570987700;9755,5107422000;7,7612133026;1,8538545370;372,7764282200;8,5265808105;0,1112838835;-0,0037241115;-0,0165682510
15,0000000000;LA;604434,0000000000;7508416,0000000000;296,0000000000;1,0000000000;11,0000000000;569,0000000000;472,5794982900;632,0000000000;7,0000000000;1263,0000000000;1822,0000000000;0,4849225879;0,2497429848;174,2582540512;0,2394687384;12,0206050870;749,0972290000;4,6866278648;2,9471461773;361,8605957000;110,7189025900;1,0000000000;0,0006567632;0,0010235822
16,0000000000;CX;604255,0000000000;7508058,0000000000;507,0000000000;1,0000000000;7,0000000000;815,0000000000;435,8606872600;1105,0000000000;6,0000000000;1589,0000000000;1812,0000000000;0,2423723042;0,2607104778;174,9681854248;0,1339522600;-4,0516204834;2256,3264160000;5,5122828484;3,7046997547;365,7514648400;70,1092224120;0,9288005829;0,0055729728;-0,0143425381
17,0000000000;LVA;603194,0000000000;7508792,0000000000;567,0000000000;3,0000000000;3,0000000000;917,0000000000;395,6567993200;1112,0000000000;0,0000000000;1726,0000000000;2079,0000000000;0,3030397892;0,2306358814;179,8952910900;0,1770846099;2,3893623352;1902,3753662000;5,4692869186;3,0628581047;368,4673767100;27,1894226070;0,6276615858;-0,0024560546;-0,0012311368
18,0000000000;RY;603891,0000000000;7508778,0000000000;160,0000000000;1,0000000000;1,0000000000;377,0000000000;360,9968872100;340,0000000000;2,0000000000;882,0000000000;2103,0000000000;0,7216536999;0,0598304272;177,5991928577;0,3553002477;0,4774437547;2505685,5000000000;15,2465343480;2,8812584877;360,9127807600;0,0841064453;0,0030436357;-0,0078084203;-0,0085182982
19,0000000000;PV;602342,0000000000;7506683,0000000000;353,0000000000;4,0000000000;6,0000000000;896,0000000000;377,2135925300;1343,0000000000;7,0000000000;1752,0000000000;1689,0000000000;0,1141160950;0,0707212240;174,6893897057;0,0646165386;-2,2339110374;3924,2141113000;7,3917293549;0,7694341540;371,2120971700;6,0014953613;0,0772472024;-0,0017551454;-0,0044249333
20,0000000000;LA;603589,0000000000;7508152,0000000000;324,0000000000;1,0000000000;7,0000000000;674,0000000000;423,3882141100;738,0000000000;6,0000000000;1052,0000000000;1251,0000000000;0,2579185665;0,1580196917;175,6112618446;0,1101016030;14,0975103380;683,1441650400;4,8328371048;1,5358626842;367,8980102500;55,4902038570;0,9928117991;0,0008730963;0,0244021378
21,0000000000;CX;603757,0000000000;7508360,0000000000;267,0000000000;1,0000000000;7,0000000000;607,0000000000;369,6593017600;645,0000000000;0,0000000000;1294,0000000000;1963,0000000000;0,5053681135;0,2509534359;179,1298276186;0,2598580420;0,1631309986;2255,3757324000;5,5517210960;3,5290131569;366,4616088900;3,1976928711;0,0669498071;-0,0068228361;-0,0033720948
22,0000000000;CX;601091,0000000000;7506879,0000000000;427,0000000000;1,0000000000;9,0000000000;733,0000000000;509,9494018600;989,0000000000;1,0000000000;1457,0000000000;1708,0000000000;0,2665925026;0,3274685741;179,4103454351;0,1401195228;6,1083970070;1286,1083984000;4,7085394859;4,4149527550;396,3270568800;113,6223449700;0,9396677613;-0,0002719487;0,0102623096
23,0000000000;CX;601156,0000000000;7506780,0000000000;128,0000000000;1,0000000000;1,0000000000;271,0000000000;503,7789917000;226,0000000000;1,0000000000;808,0000000000;1881,0000000000;0,7854769826;0,2558859587;178,6105809212;0,3493035138;8,8740158081;1204,5655518000;4,6473174095;3,0312106609;395,2524719200;108,5265197800;0,9056163430;-0,0002708001;0,0155902980
24,0000000000;CY;604176,0000000000;7509574,0000000000;242,0000000000;7,0000000000;2,0000000000;470,0000000000;358,5109863300;512,0000000000;7,0000000000;1143,0000000000;1847,0000000000;0,5659177899;0,0119855199;173,7800631523;0,2721157670;30,5304050450;477,8561096200;6,6573204994;0,0463829674;356,8688049300;1,6421813965;0,0873932540;0,0002770013;0,0407787226
25,0000000000;GX;604062,0000000000;7509474,0000000000;323,0000000000;7,0000000000;2,0000000000;679,0000000000;357,9616088900;672,0000000000;6,0000000000;1360,0000000000;2150,0000000000;0,5237420201;0,0127808452;174,8444929123;0,2834313810;-3,2105073929;1777,4119873000;8,3121347427;0,0711126104;357,3688049300;0,5928039551;0,0393007807;0,0000031429;0,0030251003
26,0000000000;CX;602415,0000000000;7505126,0000000000;459,0000000000;5,0000000000;1,0000000000;737,0000000000;377,5098877000;971,0000000000;6,0000000000;1430,0000000000;1667,0000000000;0,2638362348;0,0181208421;174,6221075058;0,1366849989;-43,0867919920;98887,9609380000;12,2138605120;0,2619772852;374,3096923800;3,2001953125;0,0412375517;-0,0001922239;-0,0231087543
27,0000000000;PV;603023,0000000000;7504329,0000000000;491,0000000000;5,0000000000;4,0000000000;877,0000000000;461,0122985800;1101,0000000000;0,0000000000;1693,0000000000;2071,0000000000;0,3058007658;0,3726667166;173,8797221184;0,1780469865;2,1944212914;2462,6125488000;5,2176618576;5,9066824913;372,6574707000;88,3548278810;0,8837268353;-0,0028608053;0,0042174947
28,0000000000;CX;603060,0000000000;7504384,0000000000;236,0000000000;5,0000000000;4,0000000000;482,0000000000;452,3440856900;446,0000000000;6,0000000000;1254,0000000000;2090,0000000000;0,6482650042;0,1333989948;175,4751567841;0,3272293210;-33,3614997860;2643,6323242000;6,7044048309;1,7339755297;372,5666503900;79,7774353030;0,8041750193;0,0015060322;-0,0354655236
29,0000000000;CX;603423,0000000000;7509012,0000000000;382,0000000000;6,0000000000;9,0000000000;718,0000000000;388,5213012700;919,0000000000;0,0000000000;1339,0000000000;1616,0000000000;0,2749506831;0,1277905554;179,8598033786;0,1387524754;8,8627815247;747,2963256800;5,1378278732;1,1887387037;362,7652893100;25,7560119630;0,9504500032;0,0014618721;0,0119867167
