ID;CLASSE;X;Y;banda1;geologia;Solos;banda2;mde;banda3;Flow Direct;banda4;banda5;ndvi;Slope;Aspect;savi;Convergence;Catchment A;Topographic;LS Factor;Channel Net;Vertical Di;Relative Sl;Profile Cur;Plan Curvat
1,0000000000;NX;602953,0000000000;7507427,0000000000;396,0000000000;3,0000000000;3,0000000000;624,0000000000;471,0000000000;813,0000000000;5,0000000000;1133,0000000000;1054,0000000000;0,1290840954;0,1587314159;176,1836664677;0,0526430905;45,3892021180;477,9692077600;4,2828812599;1,3851495981;379,3085022000;91,6914978030;1,0000000000;0,0058117704;0,0403766297
2,0000000000;LVA;602886,0000000000;7507438,0000000000;335,0000000000;3,0000000000;3,0000000000;740,0000000000;456,0000000000;1060,0000000000;6,0000000000;1385,0000000000;1391,0000000000;0,1350469142;0,5028432012;175,2876110077;0,0666353554;4,2766742706;863,9078979500;3,5718884468;6,5512447357;380,5049438500;75,4950561520;0,9318740964;0,0000000000;0,0272727273
3,0000000000;LVA;602832,0000000000;7507434,0000000000;406,0000000000;3,0000000000;3,0000000000;692,0000000000;423,0000000000;966,0000000000;6,0000000000;1258,0000000000;1384,0000000000;0,1778723449;0,4280038178;175,1224622726;0,0853061229;3,0847990513;1960,9552002000;4,8354630470;6,6912689209;381,7019348100;41,2980651860;0,5525846481;-0,0043759155;0,0072572525
4,0000000000;NX;602772,0000000000;7507428,0000000000;266,0000000000;3,0000000000;3,0000000000;651,0000000000;401,0000000000;792,0000000000;6,0000000000;1419,0000000000;1940,0000000000;0,4202049673;0,2461518645;175,3872795105;0,2227108181;0,6722001433;2972,4189453000;6,1944918633;3,8998959064;383,0424194300;17,9575805660;0,2536713183;0,0000903238;-0,0103444457
5,0000000000;GX;602699,0000000000;7507422,0000000000;116,0000000000;1,0000000000;10,0000000000;327,0000000000;391,0000000000;250,0000000000;5,0000000000;817,0000000000;1706,0000000000;0,7443763018;0,1027148813;175,5325899124;0,3139735758;-12,7852001190;4603,0546875000;7,1762161255;1,2888916731;384,1716308600;6,8283691406;0,1006921679;0,0007237291;0,0171201620
6,0000000000;CX;603895,0000000000;7507489,0000000000;483,0000000000;1,0000000000;7,0000000000;801,0000000000;400,0000000000;1025,0000000000;5,0000000000;1517,0000000000;1903,0000000000;0,2998633981;0,0996686518;175,2876110077;0,1661200970;15,8119564060;424,9038696300;4,2400851250;0,6848812699;374,9636230500;25,0363769530;0,4352830946;0,0147777805;0,1500000060
7,0000000000;PVA;603880,0000000000;7507480,0000000000;402,0000000000;1,0000000000;7,0000000000;739,0000000000;397,0000000000;840,0000000000;5,0000000000;1398,0000000000;1797,0000000000;0,3629123867;0,3342773616;175,8156852722;0,1879664809;5,5931606293;662,9735107400;4,0237369537;3,9679045677;375,0457763700;21,9542236330;0,3828937113;0,0082658613;-0,0066387150
8,0000000000;CX;603866,0000000000;7507455,0000000000;226,0000000000;1,0000000000;7,0000000000;473,0000000000;386,0000000000;581,0000000000;6,0000000000;953,0000000000;1330,0000000000;0,3919413984;0,3923662007;175,7242383957;0,1625669301;-1,0703756809;1468,5532227000;4,6438159943;5,6766548157;375,2292480500;10,7707519530;0,1883828342;0,0017670691;-0,0054126838
9,0000000000;PA;603851,0000000000;7507425,0000000000;211,0000000000;1,0000000000;7,0000000000;422,0000000000;375,6907959000;502,0000000000;7,0000000000;1014,0000000000;1550,0000000000;0,5107212663;0,1081813052;175,2809514999;0,2229154855;-8,2193546295;140841,7500000000;10,7769613270;2,8620450497;375,5408020000;0,1499938965;0,0026380522;-0,0104469471;-0,0004917315
10,0000000000;GX;603832,0000000000;7507406,0000000000;226,0000000000;1,0000000000;10,0000000000;531,0000000000;377,0000000000;612,0000000000;0,0000000000;1198,0000000000;1933,0000000000;0,5190569758;0,1120328829;178,7325149775;0,2626242638;-36,8658065800;1172,6085205000;5,7212204933;1,0971730947;375,6805725100;1,3194274902;0,0232290626;-0,0048974301;0,0363350920
11,0000000000;RL;602278,0000000000;7506274,0000000000;380,0000000000;4,0000000000;8,0000000000;682,0000000000;432,0000000000;977,0000000000;7,0000000000;1360,0000000000;1549,0000000000;0,2264449745;0,2597498000;174,5687808990;0,1140047833;8,3091335297;726,0086669900;4,3822150230;2,9391651154;379,8495178200;52,1504821780;0,8760073781;0,0040941085;0,0111554507
12,0000000000;MT;602216,0000000000;7506262,0000000000;372,0000000000;4,0000000000;5,0000000000;703,0000000000;415,0000000000;874,0000000000;6,0000000000;1355,0000000000;1607,0000000000;0,2954453826;0,3831870258;175,1632561684;0,1469723284;4,2959699631;1142,1552734000;4,4186787605;5,2428956032;380,0585937500;34,9414062500;0,5882292390;0,0039891517;0,0124034733
13,0000000000;MT;602177,0000000000;7506293,0000000000;417,0000000000;4,0000000000;5,0000000000;707,0000000000;395,0000000000;937,0000000000;6,0000000000;1427,0000000000;1666,0000000000;0,2800614536;0,3350790143;174,9204373360;0,1438248307;2,1435427666;1696,5242920000;4,9607548714;4,8025894165;380,4844360400;14,5155639650;0,2401245982;-0,0033267110;0,0113429986
14,0000000000;MT;602138,0000000000;7506316,0000000000;153,0000000000;4,0000000000;10,0000000000;452,0000000000;384,0000000000;425,0000000000;5,0000000000;1042,0000000000;2142,0000000000;0,6688741446;0,1027148813;175,5325899124;0,3403594792;-18,7777996060;34116,4296880000;10,7537956240;2,6360950470;380,8506469700;3,1493530273;0,0515016615;-0,0073963311;-0,0483662337
15,0000000000;LA;604434,0000000000;7508416,0000000000;296,0000000000;1,0000000000;11,0000000000;569,0000000000;472,0000000000;632,0000000000;7,0000000000;1263,0000000000;1822,0000000000;0,4849225879;0,2199879736;174,1804623604;0,2394687384;2,8990111351;740,7097168000;4,5749425888;2,3876132965;369,6878967300;102,3121032700;1,0000000000;0,0074354289;0,0089442721
16,0000000000;CX;604255,0000000000;7508058,0000000000;507,0000000000;1,0000000000;7,0000000000;815,0000000000;440,0000000000;1105,0000000000;6,0000000000;1589,0000000000;1812,0000000000;0,2423723042;0,4308245778;174,8970041275;0,1339522600;4,9951410294;745,9268798800;3,8614518642;5,5594534874;371,6003112800;68,3996887210;0,9310939312;-0,0022249334;0,0282102451
17,0000000000;LVA;603194,0000000000;7508792,0000000000;567,0000000000;3,0000000000;3,0000000000;917,0000000000;411,0000000000;1112,0000000000;7,0000000000;1726,0000000000;2079,0000000000;0,3030397892;0,2496329546;173,9142103195;0,1770846099;9,6152915955;1374,0009766000;5,4082074165;3,4024658203;375,2421875000;35,7578125000;0,6058273912;-0,0089236479;-0,0203659069
18,0000000000;RY;603891,0000000000;7508778,0000000000;160,0000000000;1,0000000000;1,0000000000;377,0000000000;372,3925170900;340,0000000000;1,0000000000;882,0000000000;2103,0000000000;0,7216536999;0,0018895090;179,6071966887;0,3553002477;5,0459976196;2209238,7500000000;17,5811309810;0,0258069001;372,3925170900;0,0000000000;0,0000000000;0,0000090381;-0,0047833361
19,0000000000;PV;602342,0000000000;7506683,0000000000;353,0000000000;4,0000000000;6,0000000000;896,0000000000;389,0000000000;1343,0000000000;0,0000000000;1752,0000000000;1689,0000000000;0,1141160950;0,2118317187;174,3370642662;0,0646165386;1,2996296883;1402,6180420000;5,2524104118;2,5847847462;378,7359924300;10,2640075680;0,1509555131;0,0001262743;0,0226211622
20,0000000000;LA;603589,0000000000;7508152,0000000000;324,0000000000;1,0000000000;7,0000000000;674,0000000000;415,0000000000;738,0000000000;5,0000000000;1052,0000000000;1251,0000000000;0,2579185665;0,4187819362;176,1924381256;0,1101016030;5,1937513351;851,7662353500;4,0262084007;5,5147414207;373,2896118200;41,7103881840;0,6741734743;0,0040110066;0,0050318702
21,0000000000;CX;603757,0000000000;7508360,0000000000;267,0000000000;1,0000000000;7,0000000000;607,0000000000;383,0000000000;645,0000000000;2,0000000000;1294,0000000000;1963,0000000000;0,5053681135;0,2999056876;178,6741822958;0,2598580420;0,1747669131;1119,6635742000;4,6639118195;3,8449048996;372,8723449700;10,1276550290;0,1573666632;-0,0042316732;0,0076089608
22,0000000000;CX;601091,0000000000;7506879,0000000000;427,0000000000;1,0000000000;9,0000000000;733,0000000000;526,0000000000;989,0000000000;0,0000000000;1457,0000000000;1708,0000000000;0,2665925026;0,0748598501;173,7168145180;0,1401195228;79,6250534060;474,3792114300;5,5683155060;0,5818369389;410,0822448700;115,9177551300;1,0000000000;0,0024790536;0,0000000000
23,0000000000;CX;601156,0000000000;7506780,0000000000;128,0000000000;1,0000000000;1,0000000000;271,0000000000;504,0000000000;226,0000000000;3,0000000000;808,0000000000;1881,0000000000;0,7854769826;0,4319449961;177,5670335293;0,3493035138;0,8116061688;1999,6496582000;4,6563754082;6,5419726372;408,4634704600;95,5365295410;0,9550968409;0,0051328004;0,0068269293
24,0000000000;CY;604176,0000000000;7509574,0000000000;242,0000000000;7,0000000000;2,0000000000;470,0000000000;366,0000000000;512,0000000000;2,0000000000;1143,0000000000;1847,0000000000;0,5659177899;0,0359622873;177,6609604359;0,2721157670;-3,0457935333;766,9968872100;7,1299510002;0,2649240792;364,0643615700;1,9356384277;0,0286084525;0,0000405417;-0,0035549910
25,0000000000;GX;604062,0000000000;7509474,0000000000;323,0000000000;7,0000000000;2,0000000000;679,0000000000;364,4334106400;672,0000000000;3,0000000000;1360,0000000000;2150,0000000000;0,5237420201;0,0018895090;178,0364003181;0,2834313810;-5,5184097290;18327,1171880000;12,5570421220;0,0094481995;364,3432312000;0,0901794434;0,0013293314;0,0000000000;0,0000000000
26,0000000000;CX;602415,0000000000;7505126,0000000000;459,0000000000;5,0000000000;1,0000000000;737,0000000000;388,0000000000;971,0000000000;6,0000000000;1430,0000000000;1667,0000000000;0,2638362348;0,2199879736;174,8239636421;0,1366849989;1,9635410309;1884,5729980000;5,5087904930;2,8779084682;385,3420105000;2,6579895020;0,0495713986;-0,0014859285;0,0071498491
27,0000000000;PV;603023,0000000000;7504329,0000000000;491,0000000000;5,0000000000;4,0000000000;877,0000000000;457,0000000000;1101,0000000000;0,0000000000;1693,0000000000;2071,0000000000;0,3058007658;0,3151000440;179,9232281074;0,1780469865;-0,5412494540;1687,5446777000;4,7645955086;4,2191467285;386,8673706100;70,1326293950;0,7754911780;0,0070209396;0,0209561903
