ID;CLASSE;X;Y;banda1;geologia;Solos;banda2;mde;banda3;Flow Direct;banda4;banda5;ndvi;Slope;Aspect;savi;Convergence;Catchment A;Topographic;LS Factor;Channel Net;Vertical Di;Relative Sl;Profile Cur;Plan Curvat
1,0000000000;NX;602953,0000000000;7507427,0000000000;396,0000000000;3,0000000000;3,0000000000;624,0000000000;459,5510864300;813,0000000000;2,0000000000;1133,0000000000;1054,0000000000;0,1290840954;0,2257222980;178,4626739025;0,0526430905;5,7491865158;1682,1833496000;4,9571995735;2,6777133942;371,0744628900;88,4766235350;1,0000000000;0,0057216766;-0,0004853000
2,0000000000;LVA;602886,0000000000;7507438,0000000000;335,0000000000;3,0000000000;3,0000000000;740,0000000000;458,4435119600;1060,0000000000;6,0000000000;1385,0000000000;1391,0000000000;0,1350469142;0,2612743676;175,0633969307;0,0666353554;2,4137399197;1748,3271484000;4,8435645103;3,2513022423;372,8900756800;85,5534362790;1,0000000000;0,0049959226;0,0036429572
3,0000000000;LVA;602832,0000000000;7507434,0000000000;406,0000000000;3,0000000000;3,0000000000;692,0000000000;448,0013122600;966,0000000000;6,0000000000;1258,0000000000;1384,0000000000;0,1778723449;0,3944265544;175,1031212807;0,0853061229;0,1446557790;2465,9785156000;4,7449297905;5,8369150162;373,6075134300;74,3937988280;0,9302656651;0,0033392648;0,0047811838
4,0000000000;NX;602772,0000000000;7507428,0000000000;266,0000000000;3,0000000000;3,0000000000;651,0000000000;419,6820068400;792,0000000000;6,0000000000;1419,0000000000;1940,0000000000;0,4202049673;0,4072184265;175,1292471886;0,2227108181;-2,2876753807;4225,6962891000;5,2479152679;6,7609763145;375,2117919900;44,4702148440;0,6217357516;-0,0022030075;0,0026144264
5,0000000000;GX;602699,0000000000;7507422,0000000000;116,0000000000;1,0000000000;10,0000000000;327,0000000000;390,9684143100;250,0000000000;4,0000000000;817,0000000000;1706,0000000000;0,7443763018;0,2056095153;176,0007340908;0,3139735758;-23,2567443850;38665,0507810000;8,4203920364;4,6594905853;378,1960144000;12,7723999020;0,1963006705;-0,0020151241;-0,0292344242
6,0000000000;CX;603895,0000000000;7507489,0000000000;483,0000000000;1,0000000000;7,0000000000;801,0000000000;392,5960083000;1025,0000000000;0,0000000000;1517,0000000000;1903,0000000000;0,2998633981;0,1668832749;174,0384030342;0,1661200970;14,6204347610;3746,0378418000;6,4142341614;2,2859995365;368,5199585000;24,0760498050;0,4182610512;-0,0034603237;-0,0168891400
7,0000000000;PVA;603880,0000000000;7507480,0000000000;402,0000000000;1,0000000000;7,0000000000;739,0000000000;395,6604003900;840,0000000000;5,0000000000;1398,0000000000;1797,0000000000;0,3629123867;0,1635542959;175,1061105728;0,1879664809;6,2178273201;1524,6248779000;4,7837662697;1,6010344028;368,2643432600;27,3960571290;0,4726915360;0,0026463524;0,0361810103
8,0000000000;CX;603866,0000000000;7507455,0000000000;226,0000000000;1,0000000000;7,0000000000;473,0000000000;395,6604003900;581,0000000000;5,0000000000;953,0000000000;1330,0000000000;0,3919413984;0,1635542959;175,1061105728;0,1625669301;6,2178273201;1524,6248779000;4,7837662697;1,6010344028;368,2643432600;27,3960571290;0,4726915360;0,0026463524;0,0361810103
9,0000000000;PA;603851,0000000000;7507425,0000000000;211,0000000000;1,0000000000;7,0000000000;422,0000000000;383,9377136200;502,0000000000;5,0000000000;1014,0000000000;1550,0000000000;0,5107212663;0,3776008785;175,7753934860;0,2229154855;0,6713007689;2954,1315918000;4,9737925529;5,7344665527;367,7703552200;16,1673583980;0,2757057846;0,0018197508;-0,0017760787
10,0000000000;GX;603832,0000000000;7507406,0000000000;226,0000000000;1,0000000000;10,0000000000;531,0000000000;377,6341857900;612,0000000000;6,0000000000;1198,0000000000;1933,0000000000;0,5190569758;0,3991372585;175,7011880875;0,2626242638;1,1224135160;4072,2722168000;5,2333259583;6,5478744507;367,6889343300;9,9452514648;0,1685654968;-0,0018023426;-0,0048679020
11,0000000000;RL;602278,0000000000;7506274,0000000000;380,0000000000;4,0000000000;8,0000000000;682,0000000000;427,6889953600;977,0000000000;1,0000000000;1360,0000000000;1549,0000000000;0,2264449745;0,2169895917;179,7187893987;0,1140047833;26,5861873630;1278,4433594000;4,3180599213;2,2222669125;375,1658630400;52,5231323240;0,7787528038;0,0014161404;0,0324086994
12,0000000000;MT;602216,0000000000;7506262,0000000000;372,0000000000;4,0000000000;5,0000000000;703,0000000000;427,1879882800;874,0000000000;7,0000000000;1355,0000000000;1607,0000000000;0,2954453826;0,3153643608;174,6511092186;0,1469723284;7,1001629829;1474,2729492000;4,2858672142;3,8386483192;375,6879272500;51,5000610350;0,7759514451;0,0021660079;0,0120539740
13,0000000000;MT;602177,0000000000;7506293,0000000000;417,0000000000;4,0000000000;5,0000000000;707,0000000000;411,0844116200;937,0000000000;7,0000000000;1427,0000000000;1666,0000000000;0,2800614536;0,3630251586;174,6849575043;0,1438248307;4,0788950920;2440,3469238000;4,8259367943;5,2565093040;376,2925109900;34,7919006350;0,5184336305;-0,0004118195;0,0038879684
